010110111111000110110111101000 ABAAAAAAAABBABAAAABBABAABABABB
000101111011101111010011000001 AAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAABBBBAAAAAABAAAAAAAAAAAABBBBBBBBABBBAAAAAAAAAABBBBAAAAAAAAAAAAAAABBBBBB
00100100000011101101001111110110011110000101001110110011010101110011101101111100001110010010101001101101110010000100000000111 ABBBBABBABAAAABABAAAAABBABAAABBBBAAABAABBBABAABBBABABABABBAAABABABBABAAABBBBABBBBABBBBABABBAAAABBABABABBAAABBBBBBBABABBABABABABBAABAAABAAABABBBABA
011111101011111011111101000010101111000 AAABBBBBBBBBBBBBAAAAAAAAAAAAAAAAAABBBBBBBBABBBBAAABBAAAAAABBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAAA
111110010010010000100111001101100011011011111110100110110 BBBBBBBBAAABBBBBAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAAAAAAAAAAAAAAAAABBBBBBAAAABBAAAAAAAAAABBAAAAAAAABBBBBBAAAAAAAA
0111110000011100100101101011010101101100111111000111100010100011110010011111110100100110011100110011111110000010001100111101000100110000011 AABBABBBABBBBAAAAABAABBABAABAAAAABBAABAAAAABAABBABABABBBABBBBBABBBBBBAABBBBBBBBBABBBBBABBABBAABABABBBBABABBBABAABAABAAABBABABBBBBBBBABABBBA
010101010001110001111110101011110010000001000010110011 ABABABBAAAAABBABABAABBBBBBBBBBBBABABBABABABAAAABBBAABB
11111000110001100100111100000011101000011111001000101100000011000000110000111111010001001100000000010101010111100100111011100000111010100100001011101 BBAAAAABBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAABBBBBAAABBBBBAAAAAAAAAAAAAAAABBBBBBBBBBBBBBBBBBBBBBBAAAAAABBBBAAAAAAAAAABBBBAAAAABBBBAAAAAAAAAAAAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAABBBBAAABAAAAAAAAAAABBBBBBAAAAAAAABBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAAAAAAAAAAAAAAAABAAAAABBBBBBBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBAAAAAABBBBBBBBBAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAABBBAAAABBBB
00110 AAAABBAA
10 BBBBBAAAAAAA
0000 AAABBBABABBABBAAABBBAABBBBAAAABAAABA
0110010111101100111000101111110000001010010000101010010010101000000010011101010101001100101100 ABBABABAABAABABABBAABAABAAAAAAAABAABABABAAAABBBBBBABBABAAABAAABAAAABABAABBAAAAAABBBBBABABBABBAAABBBBBBAABAABBBABABBABBBABABBB
01110110011000000001101101100001100000001011101110101001100011000100111111110100111100111101100111010100010100100101000010011101000001 AAAABBBBAAAABABABABAAABBBAABABBABAAAAABAABBBABBABABAAAABBAAAAAAABAABABABABBAAAAAAAAAABAABAAABBBBAABAAAAABAABBBAAABABBBAAAABABBABABAABBBAAAABAAAABAABBBABABBBBBAAAAAABBAAAABBBABAAABABAAABAAABBBAABABABBAABAAABBAAABABBABBAABAAAABBBBBAAAAA
0000 AAA
0000 AAAA
